"Organizations Providing Care Other than Treatment","01"
"Disaster Funds","02"
"Welfare - Charitable Corporations","03"
"Welfare - Charitable Trusts","05"
"Welfare Organizations (not else classified)","09"
"Hospitals","10"
"Services Other Than Hospitals","11"
"Health - Charitable Corporations","13"
"Health - Charitable Trusts","15"
"Health Organizations, (not else classified)","19"
"Teaching Institutions or Institutions of Learning","20"
"Support of Schools and Education","21"
"Cultural Activities and Promotion of the Arts","22"
"Education - Charitable Corporations","23"
"Education - Charitable Trusts","25"
"Education Organizations, (not else classified)","29"
"Anglican Parishes","30"
"Baptist Congregations","31"
"Lutheran Congregations","32"
"Baha'is Religious Groups","33"
"Mennonite Congregations","34"
"Buddhist Religious Groups","35"
"Pentecostal Assemblies (Pentecostal Assemblies) of Canada only","36"
"Presbyterian Congregations","37"
"Roman Catholic Parishes and Chapels","38"
"Other Denominations' Congregations or Parishes, (not else classified)","39"
"Salvation Army Temples","40"
"Seventh Day Adventist Congregations","41"
"Synagogues","42"
"Religion - Charitable Organizations","43"
"United Church Congregations","44"
"Religion - Charitable Trusts","45"
"Convents and Monasteries","46"
"Missionary Organizations and Propagation of Gospel","47"
"Hindu Religions Groups","48"
"Religious Organizations, (not else classified)","49"
"Islamic Religious Groups","60"
"Jehovah' Witnesses Congregations","61"
"Sikh Religious Groups","62"
"Libraries, Museums and Other Repositories","50"
"Military Units","51"
"Preservation of Sites, Beauty and Historical","52"
"Community - Charitable Corporations","53"
"Protection of Animals","54"
"Community - Charitable Trusts (Other than Service Clubs and Fraternal)","55"
"Recreation, Playgrounds and Vacation Camps","56"
"Temperance Associations","57"
"Community Organizations, (not else classified)","59"
"Service Clubs and Fraternal Societies' Charitable Corporations","63"
"Service Clubs and Fraternal Societies' Projects","65"
"Employees' Charity Trusts","75"
"Registered National Arts Services Organization (RNASO)","81"
"Corporation Funding Registered Canadian Amateur Athletic Association","83"
"Trust Funding Registered Canadian Amateur Athletic Association","85"
"Miscellaneous Charitable Organizations, (not else classified)","99"
